<name>,<date>,<time>,<open>,<high>,<low>,<close>,<volume>,<o/i>
Сбербанк,03/22/17,00:00,162.01,162.92,159.75,162.92,4087717,0
Сбербанк,03/23/17,00:00,163.50,164.84,162.10,164.15,3872222,0
Сбербанк,03/24/17,00:00,164.00,165.90,163.07,164.52,3304126,0
Сбербанк,03/27/17,00:00,163.03,163.37,161.10,162.69,3541870,0
Сбербанк,03/28/17,00:00,163.50,164.10,162.05,163.66,3048920,0
Сбербанк,03/29/17,00:00,164.00,164.90,162.37,163.22,2616037,0
Сбербанк,03/30/17,00:00,163.32,164.10,161.90,163.50,2441085,0
Сбербанк,03/31/17,00:00,163.40,163.70,159.51,159.80,3163997,0
Сбербанк,04/03/17,00:00,160.77,162.94,159.84,161.80,3272640,0
Сбербанк,04/04/17,00:00,161.37,163.95,160.70,163.50,2333323,0
Сбербанк,04/05/17,00:00,164.33,168.45,163.82,168.10,5775338,0
Сбербанк,04/06/17,00:00,167.54,168.19,166.41,167.49,2442202,0
Сбербанк,04/07/17,00:00,166.12,166.84,160.71,161.49,5973901,0
Сбербанк,04/10/17,00:00,161.00,161.39,154.51,155.20,7371841,0
Сбербанк,04/11/17,00:00,155.20,158.59,154.61,156.00,5334210,0
Сбербанк,04/12/17,00:00,157.00,157.44,150.28,150.28,5327980,0
Сбербанк,04/13/17,00:00,151.57,153.35,149.70,152.00,7001364,0
Сбербанк,04/14/17,00:00,150.42,152.25,148.60,149.24,2509242,0
Сбербанк,04/17/17,00:00,149.44,154.20,147.62,153.99,4841809,0
Сбербанк,04/18/17,00:00,154.44,155.59,152.15,153.40,6088259,0
Сбербанк,04/19/17,00:00,153.18,155.38,152.36,153.60,3895539,0
Сбербанк,04/20/17,00:00,153.00,158.40,152.26,158.21,6412743,0
Сбербанк,04/21/17,00:00,158.74,160.30,157.80,159.59,5718709,0
Сбербанк,04/24/17,00:00,161.09,163.43,161.00,162.50,4802138,0
Сбербанк,04/25/17,00:00,163.00,163.53,161.31,162.55,4053441,0
Сбербанк,04/26/17,00:00,163.08,165.80,161.70,165.05,4925963,0
Сбербанк,04/27/17,00:00,164.99,165.79,163.27,164.69,4371242,0
Сбербанк,04/28/17,00:00,165.50,166.00,163.91,165.20,4099971,0
Сбербанк,05/02/17,00:00,166.00,168.34,165.01,166.64,4249818,0
Сбербанк,05/03/17,00:00,166.30,166.50,163.63,164.71,3357035,0
Сбербанк,05/04/17,00:00,164.62,167.40,163.78,165.50,3762308,0
Сбербанк,05/05/17,00:00,164.22,166.60,164.00,165.80,3549554,0
Сбербанк,05/10/17,00:00,167.00,170.80,166.41,170.80,4647451,0
Сбербанк,05/11/17,00:00,171.00,172.39,168.84,169.97,5659353,0
Сбербанк,05/12/17,00:00,169.75,170.43,166.85,167.70,3735554,0
Сбербанк,05/15/17,00:00,168.50,171.68,167.89,171.35,4709940,0
Сбербанк,05/16/17,00:00,170.97,172.00,169.98,170.66,3720599,0
Сбербанк,05/17/17,00:00,169.80,170.63,168.17,169.24,3521826,0
Сбербанк,05/18/17,00:00,168.41,169.17,164.70,166.50,5748241,0
Сбербанк,05/19/17,00:00,167.48,170.08,165.71,168.87,3655233,0
Сбербанк,05/22/17,00:00,170.50,170.50,167.14,168.03,2967912,0
Сбербанк,05/23/17,00:00,167.87,168.30,165.40,166.31,3950114,0
Сбербанк,05/24/17,00:00,166.80,168.48,162.51,165.70,4689197,0
Сбербанк,05/25/17,00:00,166.50,166.95,163.53,164.05,3437344,0
Сбербанк,05/26/17,00:00,163.80,163.80,160.62,160.70,4606275,0
Сбербанк,05/29/17,00:00,161.00,164.22,160.69,163.90,2850669,0
Сбербанк,05/30/17,00:00,163.15,163.45,161.17,161.64,2267259,0
Сбербанк,05/31/17,00:00,161.60,161.60,155.03,155.93,7436577,0
Сбербанк,06/01/17,00:00,156.40,156.76,152.72,153.00,5059008,0
Сбербанк,06/02/17,00:00,153.00,157.14,151.62,157.14,6542092,0
Сбербанк,06/05/17,00:00,157.10,158.89,154.43,154.70,4859507,0
Сбербанк,06/06/17,00:00,154.49,156.00,152.11,152.80,3467391,0
Сбербанк,06/07/17,00:00,153.30,155.11,151.75,152.82,4366359,0
Сбербанк,06/08/17,00:00,153.16,153.43,148.25,151.93,6799195,0
Сбербанк,06/09/17,00:00,151.41,153.75,150.12,150.13,4531256,0
Сбербанк,06/13/17,00:00,145.35,147.30,145.00,146.00,5334686,0
Сбербанк,06/14/17,00:00,145.65,145.65,142.81,143.00,5818167,0
Сбербанк,06/15/17,00:00,141.94,142.21,136.20,139.00,18332625,0
Сбербанк,06/16/17,00:00,139.65,142.80,139.02,141.63,7969020,0
Сбербанк,06/19/17,00:00,142.50,145.15,141.80,145.00,5525194,0
Сбербанк,06/20/17,00:00,145.20,147.10,143.50,144.90,5899095,0
Сбербанк,06/21/17,00:00,144.16,144.99,142.77,143.49,4803630,0
Сбербанк,06/22/17,00:00,142.39,145.69,141.78,144.25,5436077,0
Сбербанк,06/23/17,00:00,144.40,146.00,143.62,144.10,4233390,0
